distance,weather,stealth,engine_heat,noise,radar,infrared,acoustic,target
82.7,Fog,0.064,0.813,0.876,0.0,0.02,0.01,0
38.0,Rain,0.751,0.46,0.684,0.03,0.0,0.05,0
53.7,Rain,0.216,0.638,0.878,0.02,0.0,0.0,0
6.9,Rain,0.197,0.598,0.804,0.88,0.29,0.03,1
50.7,Fog,0.73,0.336,0.426,0.01,0.05,0.01,0
66.3,Rain,0.213,0.689,0.796,0.0,0.04,0.04,0
90.9,Rain,0.638,0.235,0.311,0.0,0.0,0.0,0
35.1,Fog,0.093,0.608,0.939,0.35,0.0,0.01,0
52.9,Clear,0.084,0.589,0.793,0.5,0.06,0.0,0
79.3,Rain,0.67,0.335,0.356,0.0,0.0,0.02,0
58.6,Rain,0.937,0.334,0.647,0.02,0.0,0.0,0
26.4,Fog,0.95,0.06,0.0,0.0,0.0,0.0,0
50.7,Clear,0.154,0.669,0.856,0.27,0.03,0.0,0
43.8,Fog,0.796,0.661,0.485,0.08,0.02,0.0,0
19.3,Rain,0.594,0.299,0.322,0.13,0.02,0.03,0
54.7,Fog,0.047,0.851,0.837,0.18,0.06,0.0,0
55.6,Rain,0.22,0.458,0.1,0.04,0.0,0.0,0
22.7,Rain,0.224,0.668,0.937,0.03,0.0,0.0,0
65.7,Clear,0.021,0.813,0.852,0.87,0.01,0.0,0
60.8,Rain,0.949,0.06,0.0,0.0,0.0,0.0,0
56.8,Rain,0.755,0.542,0.567,0.02,0.0,0.0,0
26.6,Rain,0.026,0.801,0.84,0.46,0.01,0.0,0
21.2,Fog,0.612,0.396,0.335,0.05,0.03,0.03,0
88.5,Fog,0.216,0.66,0.279,0.0,0.01,0.0,0
71.3,Rain,0.634,0.426,0.331,0.0,0.04,0.05,0
95.0,Fog,0.703,0.357,0.152,0.04,0.03,0.0,0
32.7,Fog,0.073,0.765,0.879,0.95,0.15,0.01,1
28.7,Rain,0.504,0.416,0.34,0.0,0.0,0.0,0
91.9,Fog,0.699,0.379,0.402,0.0,0.01,0.0,0
11.5,Clear,0.722,0.279,0.306,0.22,0.1,0.0,0
94.6,Fog,0.087,0.597,0.939,0.0,0.0,0.0,0
87.0,Clear,0.59,0.341,0.391,0.0,0.0,0.05,0
87.0,Fog,0.854,0.289,0.624,0.02,0.0,0.0,0
8.9,Rain,0.579,0.267,0.331,0.18,0.08,0.0,0
56.7,Rain,0.096,0.695,0.836,0.0,0.0,0.05,0
66.3,Clear,0.573,0.34,0.361,0.23,0.0,0.04,0
45.7,Rain,0.54,0.508,0.54,0.05,0.0,0.05,0
23.2,Clear,0.673,0.557,0.654,0.01,0.13,0.02,0
83.8,Rain,0.08,0.852,0.891,0.03,0.05,0.02,0
8.5,Rain,0.503,0.272,0.318,0.54,0.02,0.05,0
